airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam
Menlo One,9.62E-07,0,7.55E-07,0.00014934,3.33E-06,0.000369545,0.000129182,-0.002319651,FALSE
WeSend,0,0,0,0,0,0,0,0,FALSE
InsCoin,1.65E-06,0,1.10E-07,0.000309135,2.54E-06,0.000565187,0.00035216,-0.004696,FALSE
ExTrade,3.84E-09,0,1.45E-07,1.18E-05,2.05E-08,3.26E-05,1.09E-05,0.008640814,FALSE
MUXE,1.45E-07,0,0,9.63E-05,2.92E-07,0.000228248,9.40E-05,-0.001398842,FALSE
Lina,0.001178703,0,0.00126625,0.003425122,0.001556978,0.002717244,0.003758878,-0.051758605,FALSE
Zoidcoin,5.09E-07,0,2.74E-07,1.55E-05,2.10E-07,5.43E-05,1.67E-05,-0.017710285,FALSE
Origin Sport,2.89E-05,0,0,1.89E-05,1.98E-05,0.000141297,8.00E-06,-1.422593151,FALSE
No BS Crypto,2.62E-06,0,8.06E-06,0.000111072,1.91E-06,0.000326069,9.91E-05,0.030624227,TRUE
Cosmecoin,0,0,0,2.61E-06,4.11E-09,1.09E-05,2.18E-06,0,FALSE
Railz,2.67E-06,0,1.45E-06,0.000102672,2.45E-06,0.000347807,0.000114397,-0.013929249,FALSE
ContentBox,4.99E-05,0,1.45E-06,0.000389218,6.51E-05,0.000912994,0.000361128,-0.116402323,FALSE
rLoop,0.000227664,0,0.000200008,0.000121712,0.000130873,2.17E-05,0.000152449,-0.546416996,FALSE
Bitney,3.40E-05,0,1.01E-05,0.000666432,2.87E-05,0.000934732,0.000658513,-0.036419376,FALSE
APIS,0.000803337,0,0.00323604,0.003680681,0.001428057,0.002532471,0.004257428,0.43393898,TRUE
XMED Chain,0,0,0,0,0,0,0,0,FALSE
IndiCoin,2.01E-06,0,2.73E-08,0.000184062,4.34E-06,0.000521711,0.000144209,-0.010020003,FALSE
Nobar,3.27E-08,0,5.08E-09,1.31E-05,4.93E-08,2.17E-05,1.60E-05,-0.002039979,FALSE
Coinself,8.95E-08,0,2.76E-08,8.92E-05,1.27E-07,5.43E-05,0.000107369,-0.000706768,FALSE
MAKEAFOLIO,0,0,0,0,0,0,0,0,FALSE
Iris.ai,6.13E-09,0,7.06E-09,5.23E-06,5.75E-08,2.17E-05,4.12E-06,-0.000109824,FALSE
Deedcoin,2.00E-07,0,5.71E-07,6.42E-05,3.65E-06,0.000173904,5.38E-05,0.003545622,FALSE
DAV,0.002175464,0,0.001564744,0.005789368,0.002590303,0.004543231,0.006407471,-0.153094449,FALSE
Find.Exchange,3.37E-05,0,1.82E-06,0.000257612,4.78E-05,0.00053258,0.000251335,-0.116418752,FALSE
INGOT Coin,3.14E-05,0,1.23E-06,0.000221584,2.58E-05,0.000804304,0.000165537,-0.127523467,FALSE
Profede,5.47E-07,0,6.59E-08,6.74E-05,7.56E-07,0.000206511,7.71E-05,-0.006831895,FALSE
Box 2 Table,0,0,0,0,0,0,0,0,FALSE
GlobeCas,1.15E-07,0,1.57E-08,2.37E-05,1.23E-07,2.17E-05,2.81E-05,-0.004014869,FALSE
GOeureka,3.57E-07,0,1.28E-08,2.89E-05,1.97E-07,8.70E-05,3.37E-05,-0.011123984,FALSE
Xeeda,1.77E-07,0,6.17E-08,6.51E-05,2.59E-07,6.52E-05,6.28E-05,-0.001837428,FALSE
RecordsKeeper,0,0,0,0,0,0,0,0,FALSE
DATAVLT,1.85E-08,0,0,1.70E-05,1.64E-08,2.17E-05,1.91E-05,-0.00100924,FALSE
Jibbit,3.31E-05,0,5.91E-06,0.000240438,5.28E-06,0.00084778,0.000255213,-0.10988848,FALSE
Loyakk,4.39E-09,0,3.52E-09,2.18E-05,2.05E-08,5.43E-05,1.33E-05,-6.96E-05,FALSE
AVINOC,0.000116913,0,6.63E-07,0.000101738,0.000111973,0.000499973,4.75E-05,-1.06186453,FALSE
TokenUnion,1.38E-08,0,0,1.05E-05,3.29E-08,8.70E-05,9.69E-06,-0.001221585,FALSE
Root Blockchain,2.89E-06,0,2.56E-07,6.59E-05,2.16E-06,4.35E-05,5.45E-05,-0.037834527,FALSE
Ormeus Coin,1.08E-06,0,1.37E-06,0.000292334,9.70E-07,0.000565187,0.000282116,-4.74E-05,FALSE
CryptoRiya,0,0,0,0,0,0,0,0,FALSE
Mjolnir Guard,0,0,0,0,0,0,0,0,FALSE
Daox,8.46E-08,0,0,4.09E-05,9.04E-08,8.70E-05,3.83E-05,-0.001920387,FALSE
PavoCoin,3.02E-09,0,1.45E-10,5.15E-05,2.05E-08,4.35E-05,5.72E-05,-5.24E-05,FALSE
Brainmab,0,0,0,0,0,0,0,0,FALSE
Viewo,3.10E-07,0,1.97E-09,8.87E-05,4.19E-07,0.000217379,0.000109792,-0.003226512,FALSE
FanFare,3.10E-05,0,9.20E-06,0.000748382,6.34E-05,0.000782566,0.0006716,-0.029564059,FALSE
Crystals,0.000160176,0,4.68E-05,0.001527752,8.56E-05,0.001684691,0.001729535,-0.075147267,FALSE
XGenomics,0,0,0,0,0,0,0,0,FALSE
Gese,8.38E-05,0,2.18E-05,0.000389405,6.50E-05,0.000173904,0.000472617,-0.159285434,FALSE
ASKfm 2.0,0,0,0,0,0,0,0,0,FALSE
B2BX,1.16E-07,0,1.96E-08,2.45E-05,1.68E-07,6.52E-05,1.96E-05,-0.003827139,FALSE
Lamoneda,7.71E-09,0,0,9.13E-05,1.23E-08,7.61E-05,0.000111731,-7.84E-05,FALSE
Accounting Blockchain,4.36E-07,0,0,9.15E-06,6.41E-07,2.17E-05,7.51E-06,-0.044221398,FALSE
Energi Token,0,0,0,0,0,0,0,0,FALSE
Nebeus,3.10E-08,0,6.23E-08,0.000121712,3.33E-07,0.000119559,0.000139119,0.000134199,FALSE
iRegMed,0,0,0,0,0,0,0,0,FALSE
