airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
CEX.IO,73,18,40,131,16613,55.72519083969466,13.740458015267176,30.53435114503817,-0.001986396195750316,False
Pencils Protocol,0,1,0,1,117,0.0,100.0,0.0,0.0,False
Plume Network,9,16,1,26,4260,34.61538461538461,61.53846153846154,3.8461538461538463,-0.0018779342723004694,False
Cryptopia,20,7,16,43,7654,46.51162790697674,16.27906976744186,37.2093023255814,-0.0005226025607525476,False
OpenGPU Network,0,0,0,0,0,0,0,0,0,False
Iskra,6,3,0,9,1938,66.66666666666666,33.33333333333333,0.0,-0.0030959752321981426,False
Lingo,12,105,4,121,5056,9.917355371900827,86.77685950413223,3.3057851239669422,-0.0015822784810126582,False
Gravita Protocol,0,0,0,0,438,0,0,0,0,False
Initia,349,166,111,626,121919,55.75079872204473,26.517571884984026,17.731629392971247,-0.0019521157489808807,False
Token Metrics,2,4,0,6,449,33.33333333333333,66.66666666666666,0.0,-0.004454342984409799,False
Gamium,20,3,1,24,1424,83.33333333333334,12.5,4.166666666666666,-0.013342696629213483,False
Agora,19,7,5,31,9445,61.29032258064516,22.58064516129032,16.129032258064516,-0.001482265749073584,False
Liquidium,0,1,0,1,428,0.0,100.0,0.0,0.0,False
AutoLayer,0,0,0,0,432,0,0,0,0,False
EtherMail,2,0,0,2,60,100.0,0.0,0.0,-0.03333333333333333,False
Vooi,1,1,0,2,397,50.0,50.0,0.0,-0.0025188916876574307,False
Lyra,13,1,3,17,1334,76.47058823529412,5.88235294117647,17.647058823529413,-0.0074962518740629685,False
tea,3810,1082,1136,6028,768785,63.205043132050434,17.949568679495687,18.84538818845388,-0.003478215625955241,False
M2,44,22,31,97,14142,45.36082474226804,22.68041237113402,31.958762886597935,-0.0009192476311695658,False
EYWA,15,6,9,30,5118,50.0,20.0,30.0,-0.0011723329425556857,False
Delabs Games,3,0,0,3,609,100.0,0.0,0.0,-0.0049261083743842365,False
Dwinity,0,0,0,0,0,0,0,0,0,False
ThetaNuts Finance,1,0,0,1,135,100.0,0.0,0.0,-0.007407407407407408,False
World PvP,21,5,11,37,6963,56.75675675675676,13.513513513513514,29.72972972972973,-0.0014361625736033319,False
Thruster,2,0,0,2,535,100.0,0.0,0.0,-0.003738317757009346,False
Tari,196,115,90,401,83516,48.87780548628429,28.6783042394015,22.443890274314214,-0.0012692178744192729,False
Imaginary Ones,75,3,1,79,2731,94.9367088607595,3.79746835443038,1.2658227848101267,-0.027096301720981326,False
Glacier Network,2,0,0,2,232,100.0,0.0,0.0,-0.008620689655172414,False
Zyfi,0,0,0,0,366,0,0,0,0,False
Storm Trade,2,0,0,2,69,100.0,0.0,0.0,-0.028985507246376812,False
Phaver,0,0,0,0,94,0,0,0,0,False
Elfin,5,1,0,6,963,83.33333333333334,16.666666666666664,0.0,-0.005192107995846314,False
Masa,1,3,1,5,2488,20.0,60.0,20.0,0.0,False
SpaceCatch,2,0,0,2,123,100.0,0.0,0.0,-0.016260162601626018,False
Mande Network,2,0,1,3,173,66.66666666666666,0.0,33.33333333333333,-0.005780346820809248,False
Xtremeverse,1,18,2,21,7518,4.761904761904762,85.71428571428571,9.523809523809524,0.00013301409949454643,False
Fyde,6,1,1,8,2059,75.0,12.5,12.5,-0.0024283632831471587,False
Ekubo,12,0,3,15,1119,80.0,0.0,20.0,-0.00804289544235925,False
CAGA,2,0,0,2,1794,100.0,0.0,0.0,-0.0011148272017837235,False
Sanctum,44,12,5,61,6575,72.1311475409836,19.672131147540984,8.19672131147541,-0.005931558935361216,False
zkPass,7,0,0,7,160,100.0,0.0,0.0,-0.04375,False
My Lovely Planet,1,2,2,5,874,20.0,40.0,40.0,0.0011441647597254005,False
Tabi,344,174,201,719,84711,47.8442280945758,24.200278164116828,27.955493741307368,-0.0016880924555252564,False
Mode,1184,684,693,2561,478165,46.231940648184306,26.708317063647012,27.059742288168685,-0.0010268421988225821,False
Particle Network,3,2,0,5,1131,60.0,40.0,0.0,-0.002652519893899204,False
XSwap,1,1,0,2,408,50.0,50.0,0.0,-0.0024509803921568627,False
ZeroLend,0,0,0,0,135,0,0,0,0,False
Aperture Finance,8,9,1,18,2317,44.44444444444444,50.0,5.555555555555555,-0.0030211480362537764,False
MYTH,198,32,24,254,27914,77.95275590551181,12.598425196850393,9.448818897637794,-0.006233431253134628,False
Immutable,44,28,20,92,24398,47.82608695652174,30.434782608695656,21.73913043478261,-0.000983687187474383,False
Drift Protocol,2,0,0,2,938,100.0,0.0,0.0,-0.0021321961620469083,False
Another-1,0,0,0,0,138,0,0,0,0,False
Raiinmaker,12,0,0,12,1150,100.0,0.0,0.0,-0.010434782608695653,False
Blackwing,40,6,8,54,8832,74.07407407407408,11.11111111111111,14.814814814814813,-0.0036231884057971015,False
Kamino,8,0,0,8,831,100.0,0.0,0.0,-0.009626955475330927,False
Saltwater Games,1,0,0,1,35,100.0,0.0,0.0,-0.02857142857142857,False
UpRock,5,0,1,6,678,83.33333333333334,0.0,16.666666666666664,-0.0058997050147492625,False
LunarStorm,0,1,0,1,6022,0.0,100.0,0.0,0.0,False
Revolving Games,6,0,0,6,1139,100.0,0.0,0.0,-0.0052677787532923615,False
PlanetQuest,4,0,0,4,1333,100.0,0.0,0.0,-0.003000750187546887,False
Zoth,13,4,3,20,5309,65.0,20.0,15.0,-0.0018835938971557733,False
IntentX,0,0,0,0,0,0,0,0,0,False
BeFi Labs,1,0,0,1,117,100.0,0.0,0.0,-0.008547008547008548,False
Reya Network,0,0,0,0,0,0,0,0,0,False
Moongate,4,2,4,10,2999,40.0,20.0,40.0,0.0,False
Pixelverse,3,2,0,5,340,60.0,40.0,0.0,-0.008823529411764706,False
Apillon,1,0,0,1,161,100.0,0.0,0.0,-0.006211180124223602,False
Bemo,2,0,2,4,364,50.0,0.0,50.0,0.0,False
MilkyWay,13,1,4,18,4181,72.22222222222221,5.555555555555555,22.22222222222222,-0.0021525950729490554,False
Astaria,2,0,1,3,231,66.66666666666666,0.0,33.33333333333333,-0.004329004329004329,False
BSX,5,0,0,5,540,100.0,0.0,0.0,-0.009259259259259259,False
OrangeLayer,0,0,0,0,0,0,0,0,0,False
InceptionLRT,0,0,0,0,0,0,0,0,0,False
MANTRA,25,15,10,50,9056,50.0,30.0,20.0,-0.0016563604240282686,False
BounceBit,0,0,0,0,507,0,0,0,0,False
BlastOff,1,0,1,2,695,50.0,0.0,50.0,0.0,False
Soarchain,5,0,0,5,303,100.0,0.0,0.0,-0.0165016501650165,False
Elixir,27,4,1,32,3102,84.375,12.5,3.125,-0.008381689232753063,False
Omni Network,13,0,0,13,2475,100.0,0.0,0.0,-0.0052525252525252525,False
Solv Protocol,5,1,1,7,2953,71.42857142857143,14.285714285714285,14.285714285714285,-0.0013545546901456147,False
Planet Mojo,26,0,0,26,2650,100.0,0.0,0.0,-0.009811320754716982,False
Parcl,4,0,2,6,1652,66.66666666666666,0.0,33.33333333333333,-0.0012106537530266344,False
DTX,18,5,4,27,4604,66.66666666666666,18.51851851851852,14.814814814814813,-0.0030408340573414424,False
Ultimate Digits,0,0,0,0,90,0,0,0,0,False
MPRO Lab,0,0,0,0,0,0,0,0,0,False
Tensor,5,0,0,5,653,100.0,0.0,0.0,-0.007656967840735069,False
Pac Finance,4,0,0,4,873,100.0,0.0,0.0,-0.004581901489117984,False
OverTrip,1,4,3,8,1397,12.5,50.0,37.5,0.0014316392269148174,False
BlockGames,0,0,0,0,472,0,0,0,0,False
Warden Protocol,0,0,0,0,157,0,0,0,0,False
Base Name Service,0,0,0,0,0,0,0,0,0,False
