airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
Hybrid,66.17151851952076,13.697493866086006,49.07365582883358,128.94266821444035,12717,51.3185584227814,10.622933475601847,38.058508101616745,-0.0013444886915693307,False
LazyOtter,0,0,0,0,0,0,0,0,0,False
Zerion,2.7358172833919525,0.8976968228816986,0.576761931180954,4.210276037454605,1274,64.97952293517405,21.321566920928458,13.698910143897486,-0.0016947059279521183,False
Chirp,33.38180986046791,12.758780390024185,48.86184702813625,95.00243727862835,3997,35.13784574027707,13.429950594430052,51.432203665292874,0.0038729139774001356,False
Zebra,9.687524288892746,3.980235829949379,12.276100903749466,25.94386102259159,2910,37.3403337323499,15.341725067380832,47.31794120026927,0.0008895452284730996,False
AI Gram,0,0,0,0,0,0,0,0,0,False
Cog Finance,0,0,0,0,0,0,0,0,0,False
StakeStone,1.3254239559173584,0.5062534213066101,1.0136361718177795,2.845313549041748,410,46.58270285760731,17.792535429956654,35.62476171243603,-0.0007604580099989728,False
Mantle,22.141954451799393,28.62593300640583,163.23067513108253,213.99856258928776,22713,10.346777185739734,13.376694058149145,76.27652875611112,0.006211804723254662,False
Superposition,15.678908824920654,4.532730430364609,12.842887163162231,33.054526418447495,2295,47.43346985655304,13.712888737183432,38.85364140626352,-0.0012357392861692474,False
Symmetry Trade,0,0,0,0,0,0,0,0,0,False
Adrena,10.141877830028534,9.986290350556374,46.26795935630798,66.39612753689289,6081,15.27480322462062,15.0404710651348,69.68472571024458,0.00594081261737863,False
Movement,71.39600875973701,38.359823897480965,148.35681511461735,258.1126477718353,38673,27.66079437643411,14.861659910362093,57.477545713203796,0.0019900397268088933,False
NX Finance,7.297988057136536,2.203211009502411,7.271628886461258,16.772827953100204,1025,43.510778728208514,13.135596547362072,43.353624724429416,-2.5716264073441668e-05,False
Superposition Finance,0,0,0,0,0,0,0,0,0,False
ORA,1266.966581389308,537.7932835668325,3011.2491498738527,4816.009014829993,536372,26.307396383352334,11.166783158229135,62.525820458418536,0.0032520015371506057,False
GammaSwap,0,0,0,0,0,0,0,0,0,False
Unite,157.626300573349,34.127134799957275,330.0816041380167,521.835039511323,44543,30.206154941408215,6.539831980603666,63.25401307798811,0.003871658926535431,False
Shardeum,2.2746461033821106,3.4443262219429016,11.73563638329506,17.45460870862007,787,13.031779407685958,19.733047468671693,67.23517312364234,0.012021588665708956,False
Echelon,13.607499241828918,1.3363449275493622,3.93485951423645,18.87870368361473,996,72.07856783958735,7.078584154637732,20.842848005774925,-0.009711485670273563,False
